,num_gene_records,percent_collision_symbol
0,2,66.7905824039653
1,3,19.144981412639407
2,4,5.700123915737299
3,5,2.1065675340768277
4,6,1.0532837670384139
5,7,0.6815365551425031
6,8,1.0532837670384139
7,9,1.1771995043370507
8,10,0.6815365551425031
9,11,0.43370508054522927
10,12,0.12391573729863693
11,13,0.30978934324659235
12,15,0.12391573729863693
13,16,0.061957868649318466
14,18,0.061957868649318466
15,21,0.12391573729863693
16,32,0.061957868649318466
17,33,0.12391573729863693
18,36,0.061957868649318466
19,40,0.061957868649318466
20,63,0.061957868649318466
